Sequencing_ID	new_genotype
PN12_SID1125	Zv.0230_P1_P1_P2.1.1.1
PN12_SID1126	Zv.0230_P1_P2_P1.2.1.1
PN12_SID1127	Zv.0230_P1_P2_P2.2.1.1
PN12_SID1128	Zv.0230_P1_P3_P1.1.1.1
PN12_SID1129	Zv.0230_P1_P3_P1.2.1.1
PN12_SID1130	Zv.0230_P1_P3_P2.2.1.1
PN12_SID1131	Zv.0230_P1_P4_P1.1.1.1
PN12_SID1132	Zv.0230_P1_P4_P1.2.1.1
PN12_SID1133	Zv.0230_P1_P5_P1.1.1.1
PN12_SID1134	Zv.0230_P1_P5_P1.2.1.1
PN12_SID1135	Zv.0230_P1_P5_P2.1.1.1
PN12_SID1136	Zv.0230_P1_P5_P2.2.1.1
PN12_SID1137	Zv.0290_P2_P1_P1.1.1.1
PN12_SID1138	Zv.0290_P2_P1_P1.2.1.1
PN12_SID1139	Zv.0290_P2_P2_P1.1.1.1
PN12_SID1140	Zv.0290_P2_P2_P1.2.1.1
PN12_SID1141	Zv.0290_P2_P2_P2.1.1.1
PN12_SID1142	Zv.0290_P2_P2_P2.2.1.1
PN12_SID1143	Zv.0290_P2_P3_P1.1.1.1
PN12_SID1144	Zv.0290_P2_P3_P1.2.1.1
PN12_SID1145	Zv.0290_P2_P4_P1.1.1.1
PN12_SID1146	Zv.0290_P2_P4_P1.2.1.1
PN12_SID1147	Zv.0290_P2_P4_P2.1.1.1
PN12_SID1148	Zv.0290_P2_P4_P2.2.1.1
PN12_SID1149	Zv.0210_P1_P1_P1.2.1.1
PN12_SID1150	Zv.0210_P1_P2_P1.1.1.1
PN12_SID1151	Zv.0210_P1_P2_P1.2.1.1
PN12_SID1152	Zv.0210_P1_P3_P1.1.1.1
PN13_SID1153	Zv.0210_P1_P3_P1.2.1.1
PN13_SID1154	Zv.0210_P1_P3_P2.1.1.1
PN13_SID1155	Zv.0210_P1_P3_P2.2.1.1
PN13_SID1156	Zv.0210_P1_P4_P1.1.1.1
PN13_SID1157	Zv.0210_P1_P4_P1.2.1.1
PN13_SID1158	Zv.0210_P1_P4_P2.2.1.1
PN13_SID1159	Zv.0210_P1_P5_P1.1.1.1
PN13_SID1160	Zv.0210_P1_P5_P1.2.1.1
PN13_SID1161	Zv.0210_P1_P5_P2.1.1.1
PN13_SID1163	Zv.0220_P3_P1_P1.2.1.1
PN13_SID1164	Zv.0220_P3_P1_P2.1.1.1
PN13_SID1165	Zv.0220_P3_P1_P2.2.1.1
PN13_SID1166	Zv.0220_P3_P2_P1.1.1.1
PN13_SID1167	Zv.0220_P3_P2_P1.2.1.1
PN13_SID1168	Zv.0220_P3_P2_P2.1.1.1
PN13_SID1169	Zv.0220_P3_P2_P2.3.1.1
PN13_SID1170	Zv.0220_P3_P4_P1.1.1.1
PN13_SID1171	Zv.0220_P3_P4_P1.2.1.1
PN13_SID1172	Zv.0220_P3_P5_P1.1.1.1
